User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1001010,P00279542,M,26-35,0,A,1,0,8,,,7934
1004294,P00237042,M,0-17,10,C,0,0,3,4,,7999
1003491,P00132042,M,26-35,16,B,1,0,13,16,,773
1003543,P00056042,M,26-35,17,C,2,1,8,,,5934
1003082,P00253542,F,36-45,6,B,1,0,8,,,6081
1002035,P00130842,F,18-25,0,C,1,0,5,14,,5416
1005679,P00025442,M,36-45,2,C,4+,1,1,2,9,19126
1005728,P00085542,F,36-45,20,C,3,0,5,14,,6872
1005143,P00346342,M,18-25,4,C,3,1,1,15,,15188
1001812,P00178242,F,26-35,12,A,4+,1,8,,,6063
1000482,P00227942,M,26-35,14,A,2,1,2,5,,9635
1004901,P00192042,M,26-35,7,C,1,0,5,9,14,6884
1005682,P0097042,M,18-25,0,B,2,0,6,,,16354
1002063,P00279342,M,26-35,4,A,3,0,5,14,,5322
1003804,P00112542,M,26-35,6,B,3,0,1,11,15,19626
1003829,P00021242,F,26-35,1,B,1,0,8,16,,1975
1004965,P00334242,M,0-17,10,C,1,0,1,8,,15824
1003985,P00239342,M,46-50,16,C,1,1,8,,,3904
1005347,P00370293,M,26-35,6,A,1,0,19,,,26
1005597,P00176842,F,18-25,4,A,2,0,12,14,,1414
1002490,P00080342,M,26-35,12,B,3,1,1,6,8,15883
1001325,P00112542,M,26-35,1,B,1,1,1,11,15,15336
1005511,P00173942,M,46-50,1,B,1,1,1,5,6,15666
1000869,P00113042,M,18-25,20,A,4+,1,11,16,,7431
1005124,P00086842,M,36-45,2,B,1,0,14,16,,14952
1000352,P00234742,M,18-25,4,A,0,0,8,,,5920
1004510,P00084242,M,46-50,7,A,4+,1,8,14,,3911
1000482,P00126442,M,26-35,14,A,2,1,7,,,20571
1001767,P00143642,M,26-35,20,C,1,0,1,2,6,4238
1005650,P00370242,F,36-45,12,B,2,1,5,,,1966
1000011,P00010742,F,26-35,1,C,1,0,1,8,17,11396
1001395,P00170442,M,26-35,2,B,1,1,5,,,7032
1001079,P00171542,M,26-35,7,A,0,0,2,5,14,6892
1005276,P00294042,F,26-35,4,B,1,1,8,14,,5851
1000698,P00174242,M,18-25,4,A,1,0,15,16,,21518
1003141,P00157642,M,26-35,14,C,3,1,1,14,16,15162
1000264,P00042942,M,36-45,0,B,1,1,1,15,,7943
1003717,P00120642,M,36-45,17,C,4+,0,5,,,8828
1004030,P00259342,M,36-45,7,B,3,1,5,9,,3649
1004275,P00230342,F,46-50,16,C,3,0,5,14,,7139
1002592,P00018042,M,51-55,7,B,1,1,15,16,,8313
1003842,P00251542,F,36-45,16,B,4+,0,11,16,,4568
1005788,P00032142,M,26-35,0,A,4+,0,5,11,,5334
1002323,P00021742,M,36-45,3,B,1,1,5,,,7088
1005387,P00084842,F,26-35,1,B,4+,1,8,16,,7951
1000434,P00122542,F,46-50,3,C,1,0,11,,,4582
1002016,P00148542,F,55+,2,C,2,1,1,16,17,15523
1003610,P00053342,M,18-25,6,B,4+,0,1,2,4,4062
1004414,P00223242,M,26-35,4,C,2,0,5,14,,7089
1001954,P00356142,M,26-35,16,C,1,0,8,,,8141
1001729,P00332342,M,26-35,7,B,0,1,5,8,,5295
1004102,P00180542,M,0-17,10,C,1,0,11,,,1477
1001468,P00334242,M,0-17,14,B,1,0,1,8,,19479
1002711,P00277442,F,26-35,4,C,0,0,1,6,15,4254
1000981,P00274942,M,26-35,20,B,2,1,8,,,8044
1000765,P00071442,M,26-35,17,B,1,0,15,17,,13141
1002683,P00154042,M,36-45,7,C,1,1,1,2,15,15836
1000303,P00330442,M,26-35,7,C,1,1,5,14,,8632
1000922,P00064042,M,55+,16,B,2,1,3,4,12,10670
1003589,P00226242,F,46-50,0,B,1,1,11,15,,4608
1005453,P00370242,M,18-25,4,C,1,0,5,,,5360
1002498,P00343042,M,55+,18,C,1,1,5,18,,3655
1003683,P00127342,M,26-35,2,B,3,1,1,2,15,4447
1000059,P00064042,F,51-55,1,B,4+,1,3,4,12,8417
1002122,P00230942,M,36-45,12,C,4+,1,5,14,,5335
1000855,P00102642,F,18-25,2,A,2,1,4,8,9,2806
1002506,P00033042,F,26-35,14,A,4+,0,5,14,,5464
1000402,P00262242,M,26-35,11,B,1,1,1,11,16,7814
1002793,P00127642,M,36-45,7,B,3,0,1,2,15,11465
1004655,P00112142,F,26-35,1,A,3,0,1,2,14,15878
1000426,P00182742,M,18-25,4,A,1,1,1,2,14,15573
1004094,P00166742,M,26-35,17,C,3,0,5,16,,6994
1001420,P00199442,M,18-25,4,C,3,0,5,9,,5365
1001509,P00351142,M,0-17,0,B,3,0,1,8,17,7928
1004058,P00058442,M,26-35,6,B,3,1,5,14,,5239
1000438,P00006442,M,18-25,11,A,3,0,5,,,7004
1004041,P00132442,M,18-25,3,B,2,0,16,,,8136
1000333,P00273942,M,36-45,2,A,0,1,5,12,,5363
1004469,P00246142,F,46-50,12,A,3,1,1,15,17,11388
1005643,P00327342,F,36-45,1,A,3,1,16,,,16482
1004207,P00113342,M,36-45,1,C,4+,0,1,8,17,19547
1004257,P00345842,M,51-55,16,C,2,1,2,8,14,13119
1000183,P00205942,F,46-50,1,B,1,1,5,8,14,8768
1004471,P00119442,M,26-35,6,A,1,0,5,,,5353
1005893,P00285842,M,26-35,7,A,0,0,5,,,3460
1000653,P00278642,M,55+,13,C,3,0,5,,,6928
1002578,P00145942,M,51-55,7,A,1,1,6,8,13,15949
1006001,P00350942,F,26-35,7,A,0,1,3,4,5,10657
1003675,P00148342,M,36-45,7,B,3,0,5,,,7028
1001780,P00266642,M,36-45,1,B,0,0,1,8,9,12074
1001264,P00221442,M,26-35,1,A,3,0,1,2,5,11980
1004458,P00196042,F,26-35,4,B,1,0,4,9,15,3538
1005838,P00130742,F,46-50,7,B,0,1,1,14,17,19677
1001543,P00178942,M,26-35,11,C,2,0,5,8,,7049
1002874,P00285342,F,36-45,20,B,1,0,5,8,,7024
1002181,P00327242,M,26-35,0,B,4+,1,5,8,,7074
1000181,P00014542,M,18-25,17,C,1,0,8,,,7905
1003081,P00188742,M,26-35,7,B,1,1,8,14,17,9767
1004821,P00299142,M,18-25,19,C,1,0,5,,,5385
1004483,P00102642,F,26-35,6,B,4+,0,4,8,9,2807
1002589,P00073642,M,26-35,0,C,3,0,8,,,8047
1004229,P00144242,M,36-45,17,C,2,1,5,14,,5342
1005040,P00070442,M,46-50,12,C,1,1,1,15,,15465
1005755,P00085642,F,36-45,2,B,1,0,5,14,,5236
1004655,P00073642,F,26-35,1,A,3,0,8,,,7871
1002102,P00058642,M,26-35,11,B,3,0,18,,,2334
1002489,P00195242,F,36-45,9,B,1,0,8,,,10061
1002736,P00025942,M,46-50,12,C,4+,0,8,14,,7904
1000839,P00212842,M,26-35,0,A,2,0,8,16,,7779
1000293,P00268442,M,55+,1,C,1,1,8,17,,7959
1004600,P00326642,M,26-35,0,C,2,1,8,,,9863
1005054,P0096642,M,36-45,2,B,0,0,2,3,4,3606
1004422,P00198942,M,26-35,5,A,1,1,5,,,8864
1001609,P00157542,F,36-45,9,B,3,0,8,14,,8030
1005267,P00306142,M,36-45,7,C,2,0,5,,,3563
1001974,P00121042,M,36-45,17,B,1,0,15,,,16705
1005426,P00042942,M,26-35,14,C,1,0,1,15,,11958
1001841,P00139942,M,18-25,0,C,2,0,5,,,1959
1001397,P00295942,M,36-45,7,C,3,1,2,5,15,12915
1005312,P00150542,M,26-35,1,A,1,0,5,,,7000
1001599,P00216242,M,26-35,0,A,1,0,3,4,5,5277
1003442,P00294542,M,18-25,12,B,3,0,8,,,6162
1005283,P00216342,M,18-25,2,C,1,1,3,4,5,10801
1005333,P00003642,F,26-35,7,A,4+,0,8,,,7758
1004126,P00331942,M,26-35,17,B,1,0,5,,,5302
1003683,P00375436,M,26-35,2,B,3,1,20,,,490
1000880,P00106042,M,36-45,17,A,1,0,5,,,8729
1000425,P00303342,M,26-35,12,B,1,1,1,16,,15597
1003401,P00228342,M,36-45,7,B,1,0,1,13,16,11536
1001101,P00258542,M,36-45,1,A,1,0,11,,,4575
1000202,P00273442,M,18-25,4,A,3,0,12,14,17,725
1003391,P00110642,M,18-25,4,A,0,0,5,,,5361
1004957,P00026742,M,26-35,2,A,1,1,8,11,,6077
1001552,P00115542,M,46-50,20,B,1,1,8,,,7957
1004897,P00129842,M,36-45,16,B,3,0,6,8,15,16566
1005880,P00153842,M,26-35,1,A,1,1,8,14,16,6179
1001516,P00053042,F,26-35,12,B,1,0,5,14,16,5314
1000163,P00150042,M,18-25,4,A,1,0,8,,,2019
1002774,P00365242,M,26-35,1,A,1,0,5,8,,6918
1005504,P00128942,M,46-50,7,B,1,1,1,11,,11963
1003129,P00217942,M,26-35,7,B,2,0,5,,,8796
1000839,P00092942,M,26-35,0,A,2,0,8,17,,7931
1001948,P00110942,M,0-17,10,B,3,0,1,2,,19166
1003361,P00130742,M,26-35,4,B,0,0,1,14,17,19507
1003648,P00035942,M,18-25,4,B,1,0,1,5,18,11855
1001073,P00190042,F,26-35,6,C,4+,0,3,4,5,13246
1005586,P00334242,M,36-45,20,A,1,1,1,8,,11686
1004356,P00151742,M,36-45,16,C,0,1,8,15,16,10042
1000899,P00085942,F,26-35,1,B,3,1,2,4,8,16106
1004250,P00027542,F,51-55,0,C,4+,1,8,,,5941
1005675,P00216642,M,36-45,14,A,2,0,8,,,8128
1005424,P00313542,F,36-45,2,C,2,0,5,8,,6968
1000181,P00218642,M,18-25,17,C,1,0,5,,,5249
1003147,P00062842,M,26-35,14,C,0,0,1,2,13,11424
1005183,P00358342,F,18-25,20,C,1,0,11,15,16,3173
1004083,P00247142,M,55+,14,A,0,0,8,15,16,5971
1001980,P00170042,M,36-45,7,A,1,0,8,,,7812
1000229,P00187342,M,18-25,10,C,1,0,4,5,15,1393
1004904,P00146042,M,51-55,15,B,1,1,1,13,15,15593
1003669,P00279442,M,26-35,14,A,2,0,16,,,12422
1003507,P00323542,M,26-35,0,A,3,0,8,18,,7930
1002456,P00156042,M,26-35,5,A,1,0,8,,,4138
1005763,P00120542,F,26-35,1,A,1,1,8,14,,9900
1005329,P00126042,F,26-35,5,B,1,0,8,14,,8047
1002110,P00368642,M,51-55,11,C,3,0,11,15,,6158
1001496,P00070942,M,26-35,17,A,2,0,3,5,16,10699
1004861,P00154742,M,26-35,4,C,1,0,8,14,16,8053
1005734,P00051442,F,26-35,14,B,4+,1,8,17,,9819
1003352,P00130642,M,36-45,0,C,1,0,11,16,,5897
1003824,P00255942,M,26-35,17,A,3,1,1,16,,11455
1000555,P00351342,M,18-25,4,B,4+,0,1,2,16,11390
1002624,P00085542,F,36-45,0,A,1,1,5,14,,8608
1005958,P00000642,M,46-50,14,C,1,0,1,6,16,11820
1001751,P00210042,M,36-45,20,C,0,0,8,14,,9781
1003509,P00342742,M,18-25,4,A,0,0,8,14,,8133
1005774,P00111542,M,18-25,4,A,2,1,2,17,,13295
1000954,P00157342,F,26-35,0,B,1,1,8,,,10069
1001638,P00322542,F,18-25,17,B,3,0,8,,,9797
1000373,P00057642,F,26-35,2,C,1,1,1,15,16,12010
1004451,P00130442,M,26-35,14,B,2,1,3,5,,5616
1000626,P00121342,M,18-25,4,B,4+,1,1,5,18,11508
1000295,P00220442,M,18-25,0,C,4+,0,5,14,,6854
1005074,P00184342,M,0-17,0,B,2,0,8,,,3884
1002116,P00013142,M,18-25,4,B,4+,1,5,,,5318
1005878,P00045842,F,26-35,0,A,4+,1,5,14,,6914
1003863,P00112142,M,26-35,0,C,2,0,1,2,14,19383
1000907,P00115642,F,46-50,6,C,1,1,8,14,,7902
1004616,P00285342,M,26-35,20,C,4+,0,5,8,,8589
1005686,P00211142,M,55+,16,A,1,1,5,,,1848
1000510,P00057642,M,18-25,12,C,3,0,1,15,16,19259
1003642,P00265742,F,26-35,7,B,1,0,5,12,,1965
1002261,P00278642,M,26-35,5,C,1,0,5,,,7023
1004437,P00331942,F,36-45,5,B,1,0,5,,,5375
1003804,P00157142,M,26-35,6,B,3,0,11,16,,4456
1001958,P00183442,F,26-35,1,B,3,0,1,2,,15719
1001088,P00236342,F,0-17,10,A,3,0,5,14,,5408
1000306,P00156442,M,18-25,0,C,3,0,8,,,7794
1003792,P00073842,M,26-35,6,A,1,0,1,15,17,15239
1003618,P00265542,M,55+,17,A,4+,1,5,8,,7128
1002073,P00067942,F,18-25,4,B,4+,0,5,14,,6856
1000700,P00112142,M,51-55,17,C,1,1,1,2,14,11706
1005722,P00243942,M,26-35,20,A,2,1,1,2,15,15183
1001209,P00292742,M,36-45,7,C,1,1,7,12,,16435
1001239,P00032542,F,26-35,20,B,1,0,8,,,6084
1001959,P00370853,F,51-55,13,C,1,0,19,,,38
1004015,P00246342,F,46-50,3,B,2,1,11,15,,4426
1001318,P00365142,M,18-25,16,B,4+,1,6,16,,12704
1005806,P00005742,F,51-55,1,B,2,0,8,14,,6120
1002106,P00085942,F,18-25,20,A,3,1,2,4,8,9951
1001495,P00187942,M,18-25,0,C,1,0,4,8,,820
1000566,P00106742,M,26-35,17,A,3,0,3,5,,10728
1001879,P00085342,M,26-35,4,C,1,1,10,13,,23438
1005916,P00034742,M,51-55,20,B,1,1,5,14,17,7187
1003180,P00145042,M,26-35,14,B,1,0,1,2,5,7856
1001260,P00001142,M,26-35,17,B,0,0,5,8,14,7100
1000822,P00052542,F,26-35,1,B,0,1,8,,,6159
1003327,P00001042,M,18-25,12,B,4+,0,1,2,16,15915
1000092,P00226342,F,18-25,4,B,1,0,11,15,,2966
1005823,P00111742,M,26-35,12,B,1,0,15,,,20971
1002836,P00184942,M,26-35,12,C,2,1,1,8,17,15265
1005831,P00154042,M,26-35,1,A,2,1,1,2,15,15165
1005112,P00074342,M,36-45,13,B,1,0,5,,,3449
1004016,P00181242,M,51-55,0,B,1,0,11,,,3163
1004784,P00230442,F,36-45,6,A,1,0,14,,,15189
1000830,P00233342,M,36-45,7,A,3,0,1,15,16,11540
1002772,P00037042,M,36-45,17,A,3,1,1,15,,7590
1003889,P00286142,M,46-50,6,C,0,1,16,,,16323
1002503,P00282342,M,36-45,17,C,3,1,2,,,12992
1004496,P00370853,M,46-50,2,C,4+,0,19,,,38
1000889,P00333042,M,46-50,20,A,1,0,5,8,,2020
1000850,P00030642,M,36-45,0,A,3,1,8,,,8039
1001899,P00285842,F,46-50,6,A,1,1,5,,,7035
1005788,P00239242,M,26-35,0,A,4+,0,5,8,14,5417
1003294,P00016542,M,18-25,4,B,3,0,1,6,16,11970
1001031,P00142142,M,36-45,16,C,2,1,1,2,15,15307
1002368,P00173542,F,55+,13,C,1,0,5,8,,7163
1001727,P00266142,M,36-45,16,B,2,1,5,11,,7127
1000307,P00084542,M,51-55,16,B,0,1,5,,,8588
1005480,P00243242,F,26-35,14,B,0,1,11,14,,4423
1005256,P00013942,M,26-35,16,B,4+,1,5,,,7079
1005005,P00111442,M,46-50,16,B,2,0,8,,,7998
1002353,P00223242,F,36-45,9,C,3,1,5,14,,6928
1000959,P00046742,M,51-55,11,C,1,0,1,2,15,15266
1004711,P00346242,M,26-35,17,C,1,1,1,15,,15169
1003963,P00109542,M,51-55,20,A,2,0,8,14,17,5862
1004344,P00057742,M,26-35,1,A,4+,0,2,8,18,16317
1000411,P00170642,F,46-50,1,B,0,1,5,8,,6987
1004705,P00003442,F,18-25,0,C,0,1,4,5,8,2737
1003727,P00037542,M,36-45,7,B,1,0,1,,,12039
1000019,P00121042,M,0-17,10,A,3,0,15,,,13094
1001962,P00355742,F,18-25,1,B,0,1,3,4,,2729
1003978,P00112142,M,36-45,13,C,2,1,1,2,14,15375
1001963,P00150742,F,51-55,9,C,4+,1,8,14,,6010
1005083,P00014642,M,26-35,4,B,4+,1,8,14,17,4014
1003718,P00260042,M,51-55,17,C,1,0,5,8,,6933
1000909,P00245642,M,46-50,7,C,2,0,5,11,12,5172
1005812,P00119842,F,26-35,7,A,1,1,7,17,,16896
1004312,P00298442,M,26-35,18,A,0,1,16,,,12895
1000710,P00112842,M,26-35,20,A,4+,0,8,17,,8083
1004145,P00178242,F,51-55,1,C,0,1,8,,,9731
1003650,P00303442,M,26-35,0,A,2,0,1,8,14,15517
1001891,P00250642,M,46-50,1,C,3,1,11,,,5940
1001348,P0097142,F,0-17,10,A,3,0,12,,,1762
1002847,P00057442,M,18-25,4,A,3,0,5,14,16,5183
1003336,P00022142,M,36-45,17,B,2,1,1,,,4045
1001899,P00271942,F,46-50,6,A,1,1,5,8,,5195
1001880,P00124042,M,36-45,0,B,3,1,11,,,3077
1002221,P00318742,M,55+,17,B,0,1,1,8,,19457
1005545,P00313342,F,36-45,16,C,3,1,5,,,8675
1003885,P00348642,M,26-35,12,B,4+,1,5,11,,7120
1002934,P00044542,F,36-45,20,B,3,0,8,18,,6015
1005718,P00117442,F,36-45,14,C,4+,1,5,14,,5231
1000272,P00129342,M,18-25,0,A,1,0,1,5,15,4501
1000402,P00042142,M,26-35,11,B,1,1,1,2,6,11854
1001861,P00282042,M,51-55,16,A,1,1,5,15,,3495
1005337,P00033042,F,36-45,3,C,3,1,5,14,,6894
1001920,P00331842,F,36-45,7,B,1,0,16,,,8822
1001367,P00105342,M,26-35,12,C,1,0,1,2,15,15771
1005488,P00105042,M,26-35,15,C,1,0,5,9,,1714
1001158,P00302442,F,36-45,1,C,2,1,5,6,,7035
1004134,P00285442,F,46-50,12,C,2,0,8,,,6175
1001449,P00125642,M,36-45,20,A,1,1,5,14,,1762
1003689,P00034042,M,26-35,0,C,1,1,1,2,16,15291
1000966,P00293542,M,55+,2,C,4+,0,8,,,7961
1004114,P00119642,M,36-45,14,B,1,0,1,2,8,15326
1004116,P00269642,M,36-45,7,A,2,0,11,16,,3052
1003597,P00182742,M,26-35,17,C,1,1,1,2,14,15211
1002041,P00237642,F,26-35,20,B,4+,0,5,14,,5207
1000937,P00319942,M,26-35,15,A,2,1,1,8,,15261
1001285,P00288342,M,36-45,4,A,0,1,8,,,7800
1005097,P00309242,M,55+,16,C,3,0,5,8,,6946
1005954,P00233042,M,46-50,11,A,2,1,1,8,,4315
1003547,P00079742,M,36-45,16,A,2,0,1,2,15,12019
1000724,P00005042,M,51-55,13,B,2,1,6,16,,20651
1000170,P00146142,M,26-35,11,C,1,1,1,2,15,11886
1004948,P00059442,M,46-50,2,A,1,1,6,8,16,20232
1005488,P00248942,M,26-35,15,C,1,0,1,6,14,19238
1005300,P00334242,M,26-35,20,A,0,0,1,8,,15334
1000284,P00250642,M,26-35,12,B,3,1,11,,,4453
1003824,P00282042,M,26-35,17,A,3,1,5,15,,3580
1004965,P00074442,M,0-17,10,C,1,0,1,16,,11531
1004895,P00044442,F,26-35,3,B,3,0,1,16,,19549
1001599,P00128942,M,26-35,0,A,1,0,1,11,,15757
1004415,P00331042,M,18-25,0,B,1,0,5,8,,5347
1001151,P00183342,M,26-35,15,C,2,1,5,15,18,7122
1002018,P00175942,M,36-45,16,B,1,0,8,,,8125
1005762,P00120142,F,36-45,6,A,2,1,5,,,7075
1001746,P00114942,M,26-35,4,C,1,1,1,15,16,19328
1001902,P00249742,M,26-35,19,C,1,0,1,15,18,4370
1001347,P00150542,F,18-25,1,C,0,0,5,,,8720
1001503,P00010742,M,26-35,12,A,2,0,1,8,17,15869
1002131,P00105442,M,26-35,0,B,1,0,11,,,4487
1004934,P00044442,F,26-35,0,A,2,0,1,16,,19005
1005881,P00146742,M,36-45,17,B,1,0,1,13,14,15697
1000053,P00183342,M,26-35,0,B,1,0,5,15,18,6941
1002792,P00163442,M,18-25,4,C,1,0,6,8,13,20024
1005286,P00176942,M,46-50,16,B,0,0,5,,,3461
1002374,P00220442,M,26-35,14,B,2,0,5,14,,8601
1000712,P00289842,M,26-35,0,B,2,0,1,16,,8215
1003836,P00145842,F,51-55,8,B,1,0,4,5,,1458
1003619,P00293242,M,51-55,16,B,3,1,8,16,,7904
1005929,P00125342,F,36-45,0,C,2,0,11,,,7509
1004522,P00296442,M,46-50,1,C,0,1,5,8,,5408
1000411,P00331942,F,46-50,1,B,0,1,5,,,5417
1000780,P00015642,M,26-35,17,B,3,0,8,16,17,8017
1004116,P00126042,M,36-45,7,A,2,0,8,14,,7861
1005522,P00010342,M,26-35,14,B,0,0,8,14,,4083
1001101,P00119642,M,36-45,1,A,1,0,1,2,8,15184
1000474,P00112642,M,26-35,17,B,1,0,1,2,5,7649
1001186,P00245942,M,18-25,19,A,1,1,15,,,21470
1003479,P00118742,M,18-25,4,C,2,0,5,11,,5184
1004271,P00100442,M,36-45,7,B,2,0,2,4,5,13211
1002909,P00052942,M,26-35,7,A,1,0,5,,,1875
1004869,P00276342,F,46-50,6,C,3,1,5,,,5190
1004312,P00222442,M,26-35,18,A,0,1,5,,,5342
1001242,P00117342,F,36-45,0,A,0,1,1,8,13,19154
1005981,P00109742,M,36-45,7,C,3,0,8,,,6188
1003761,P00128942,M,26-35,17,C,2,1,1,11,,19102
1000403,P00140042,M,18-25,4,A,2,0,1,16,,15214
1002130,P00115842,M,46-50,0,C,2,1,16,,,16651
1004416,P00002542,M,18-25,4,A,3,1,8,14,,9814
1002801,P00173242,F,26-35,3,A,1,1,5,,,7119
1002941,P00119542,M,36-45,12,B,1,1,8,14,,4044
1002233,P00033042,F,36-45,3,B,2,1,5,14,,5176
1005257,P00086642,F,26-35,2,A,4+,0,8,,,9959
1000339,P00157342,M,51-55,7,C,1,1,8,,,5945
1005329,P00052242,F,26-35,5,B,1,0,8,,,9849
1005282,P00222142,F,18-25,4,B,1,1,5,13,,6937
1004060,P00231942,M,26-35,18,C,2,1,11,,,6178
1004482,P00266442,F,36-45,1,A,1,0,5,,,6894
1003311,P00155142,M,26-35,4,A,4+,0,1,16,,4285
1005682,P00295342,M,18-25,0,B,2,0,2,8,,12824
1003429,P00270242,F,26-35,7,B,1,1,8,,,9825
